Time	position_x	position_y
0.001	0.246	1024.302
0.001	0.247	1024.400
0.001	0.248	1024.497
0.001	0.249	1024.595
0.001	0.250	1024.693
0.001	0.251	1024.790
0.001	0.252	1024.888
0.001	0.253	1024.985
0.001	0.254	1025.083
0.001	0.255	1025.180
0.001	0.256	1025.278
0.001	0.257	1025.375
0.001	0.258	1025.473
0.001	0.259	1025.570
0.001	0.260	1025.667
0.001	0.261	1025.765
0.001	0.262	1025.862
0.001	0.263	1025.960
0.001	0.264	1026.057
0.001	0.265	1026.155
0.001	0.266	1026.252
0.001	0.267	1026.349
0.001	0.268	1026.447
0.001	0.269	1026.544
0.001	0.270	1026.641
0.001	0.271	1026.739
0.001	0.272	1026.836
0.001	0.273	1026.933
0.001	0.274	1027.031
0.001	0.275	1027.128
0.001	0.276	1027.225
0.001	0.277	1027.323
0.001	0.278	1027.420
0.001	0.279	1027.517
0.001	0.280	1027.614
0.001	0.281	1027.712
0.001	0.282	1027.809
0.001	0.283	1027.906
0.001	0.284	1028.003
0.001	0.285	1028.101
0.001	0.286	1028.198
0.001	0.287	1028.295
0.001	0.288	1028.392
0.001	0.289	1028.489
0.001	0.290	1028.586
0.001	0.291	1028.684
0.001	0.292	1028.781
0.001	0.293	1028.878
0.001	0.294	1028.975
0.001	0.295	1029.072
0.001	0.296	1029.169
0.001	0.297	1029.266
0.001	0.298	1029.363
0.001	0.299	1029.460
0.001	0.300	1029.558
0.001	0.301	1029.655
0.001	0.302	1029.752
0.001	0.303	1029.849
0.001	0.304	1029.946
0.001	0.305	1030.043
0.001	0.306	1030.140
0.001	0.307	1030.237
0.001	0.308	1030.334
0.001	0.309	1030.431
0.001	0.310	1030.528
0.001	0.311	1030.625
0.001	0.312	1030.721
0.001	0.313	1030.818
0.001	0.314	1030.915
0.001	0.315	1031.012
0.001	0.316	1031.109
0.001	0.317	1031.206
0.001	0.318	1031.303
0.001	0.319	1031.400
0.001	0.320	1031.497
0.001	0.321	1031.594
0.001	0.322	1031.690
0.001	0.323	1031.787
0.001	0.324	1031.884
0.001	0.325	1031.981
0.001	0.326	1032.078
0.001	0.327	1032.174
0.001	0.328	1032.271
0.001	0.329	1032.368
0.001	0.330	1032.465
0.001	0.331	1032.562
0.001	0.332	1032.658
0.001	0.333	1032.755
0.001	0.334	1032.852
0.001	0.335	1032.948
0.001	0.336	1033.045
0.001	0.337	1033.142
0.001	0.338	1033.239
